split,tier,signal,rows,mean_or_prevalence,zero_pct
validation,T2,is_follow,23310,0.0014586014586014586,99.85413985413986
validation,T2,is_comment,23310,0.0019305019305019305,99.8069498069498
validation,T2,is_forward,23310,0.0011583011583011582,99.88416988416988
validation,T2,is_hate,23310,0.0005148005148005148,99.94851994851996
validation,T2,is_profile_enter,23310,0.02247962247962248,97.75203775203775
validation,T2,play_time_ms,23310,24993.707893607894,9.815529815529816
validation,T2,profile_stay_time,23310,6.951093951093951,99.98712998712999
validation,T2,comment_stay_time,23310,457.0728013728014,95.87730587730587
validation,T3,is_click,32052,0.4682391114439037,53.176088855609635
validation,T3,is_like,32052,0.02059153874953201,97.9408461250468
validation,T3,is_follow,32052,0.0011855734431548734,99.88144265568451
validation,T3,is_comment,32052,0.002339947585174092,99.76600524148259
validation,T3,is_forward,32052,0.000779982528391364,99.92200174716086
validation,T3,is_hate,32052,0.00037439161362785476,99.96256083863722
validation,T3,is_profile_enter,32052,0.020685136652938974,97.9314863347061
validation,T3,play_time_ms,32052,22823.28094970673,10.551603644078373
validation,T3,profile_stay_time,32052,0.7907150879820292,99.99688006988643
validation,T3,comment_stay_time,32052,474.5291401472607,95.42618245351304
validation,T4,is_click,54120,0.39375461936437545,60.62453806356245
validation,T4,is_like,54120,0.014209164818920917,98.57908351810791
validation,T4,is_follow,54120,0.0009608277900960828,99.9039172209904
validation,T4,is_comment,54120,0.002475979305247598,99.75240206947524
validation,T4,is_forward,54120,0.0005358462675535846,99.94641537324465
validation,T4,is_hate,54120,0.000868440502586844,99.91315594974132
validation,T4,is_profile_enter,54120,0.017424242424242425,98.25757575757575
validation,T4,play_time_ms,54120,17088.185236511457,13.593865484109385
validation,T4,profile_stay_time,54120,0.2840169992609017,99.99630450849963
validation,T4,comment_stay_time,54120,454.1687915742794,95.32889874353289
